SourceID ra dec _25um_Flux_8pix _25um_Flux_8pix_err _25um_Flux_G2D _25um_Flux_G2D_err fwhm25 _37um_Flux_10_5pix _37um_Flux_10_5pix_err _37um_Flux_G2D _37um_Flux_G2D_err fwhm37 _25ApPhot_qflag _37ApPhot_qflag G2D25_qflag G2D37_qflag bkg_qflag25 bkg_qflag37 vExtFlag25 vExtFlag37
SFGC0.042+0.0282 266.402417 -28.885758 14.49 0.3534 13.26 0.1899 3.61 31.99 1.529 27.91 1.048 7.912 000 000 0 0.0 1 1 0 0
SFGC359.726-0.0362 266.277042 -29.188536 35.77 0.3162 37.62 0.245 6.815 48.07 0.7366 41.63 0.5817 9.116 000 000 0 0.0 1 0 0 0
SFGC359.456+0.0199 266.060292 -29.389611 4.478 0.09401 4.005 0.04359 3.37 11.49 0.1886 10.24 0.1052 6.44 000 000 0 0.0 0 0 0 0
SFGC359.915-0.0004 266.35475 -29.008983 "" "" 0.5044 0.1012 4.908 2.902 0.4361 2.29 0.2958 7.831 111 000 0 0.0 0 0 0 0
SFGC0.015+0.0249 266.389583 -28.910461 4.481 0.2469 3.939 0.1024 3.649 12.46 0.634 11 0.3935 7.166 000 000 0 0.0 0 0 0 0
SFGC0.414-0.0215 266.671542 -28.593853 7.736 0.131 8.908 0.1384 9.293 15.75 0.2941 13.44 0.2791 10.96 000 000 0 0.0 0 0 0 0
SFGC0.430-0.0276 266.686958 -28.583311 2.309 0.07809 2.026 0.02689 2.662 3.103 0.1844 2.444 0.061 3.819 000 000 0 0.0 0 0 0 0
SFGC0.633-0.1153 266.892167 -28.454972 7.085 0.2462 8.417 0.2865 10.24 19.22 0.6358 16.21 0.6226 11.31 000 000 0 0.0 0 0 0 0
SFGC0.600-0.0483 266.8075 -28.448444 50.58 0.5121 51.89 0.3464 5.95 157.8 1.945 136.9 1.48 8.786 000 000 0 0.0 1 1 0 0
SFGC0.353-0.0198 266.633667 -28.645214 3.919 0.146 4.533 0.1435 8.644 6.994 0.3885 "" "" "" 000 000 0 1.0 0 0 0 0
SFGC0.216-0.0492 266.58125 -28.777483 1.128 0.1049 1.173 0.07459 6.255 6.309 0.473 5.215 0.5258 12.83 000 000 0 0.0 0 0 0 0
SFGC0.101+0.0246 266.441167 -28.837114 48.72 1.538 60.13 2.487 14.23 121.6 3.068 102.6 4.085 15.37 000 000 0 0.0 1 1 1 1
SFGC0.661-0.0520 266.84675 -28.398697 1.928 0.1529 2.119 0.08557 4.921 9.812 0.4939 9.344 0.3462 8.092 000 000 0 0.0 0 0 0 0
SFGC0.604-0.0468 266.8085 -28.444078 4.809 1.026 "" "" "" 27.88 3.358 "" "" 26 100 000 1 1.0 1 1 0 0
SFGC0.205-0.1170 266.641 -28.821783 23.12 0.1103 21 0.05371 4.284 38.14 0.2871 33.46 0.1542 4.759 000 000 0 0.0 0 0 0 0
SFGC0.030-0.0264 266.4485 -28.924442 1.379 0.1548 1.908 0.1485 8.436 3.016 0.7852 "" "" "" 000 100 0 1.0 0 0 0 0
SFGC0.134-0.0227 266.506875 -28.833494 4.209 0.3029 5.496 0.4442 12.9 18.09 1.449 15.48 2.638 21.01 000 000 0 0.0 1 0 1 1
SFGC0.068-0.1230 266.565417 -28.9422 2.581 0.1456 2.821 0.1196 7.225 2.345 0.3326 "" "" 26 000 000 0 1.0 0 0 0 0
SFGC359.843-0.0146 266.3255 -29.077908 8.224 0.1253 8.364 0.08715 6.117 11.75 0.2903 10.25 0.2224 8.844 000 000 0 0.0 0 0 0 0
SFGC0.216-0.1119 266.642458 -28.809872 "" "" 0.7276 0.09021 5.176 "" "" 0.2289 0.05938 1.61 011 111 0 0.0 0 0 0 0
SFGC359.939-0.0499 266.417458 -29.014025 26.78 7.47 35.67 8.15 9.596 177 18.97 159.7 19.59 11.93 000 000 0 0.0 1 1 0 0
SFGC0.187-0.0555 266.570417 -28.805169 17.63 0.8588 21.3 0.8334 8.536 52.23 3.032 45.62 2.35 8.946 000 000 0 0.0 1 1 0 0
SFGC0.218-0.1557 266.6865 -28.830808 2.172 0.1071 2.071 0.03794 3.117 "" "" 0.9568 0.06751 2.996 000 010 0 0.0 0 0 0 0
SFGC0.083-0.0965 266.548792 -28.915208 15.04 0.1273 15.22 0.08643 5.97 28.68 0.3295 25.62 0.2383 8.349 000 000 0 0.0 0 0 0 0
SFGC359.460+0.0105 266.071833 -29.391172 1.779 0.2111 1.809 0.09993 4.164 3.945 0.3908 3.363 0.2166 6.397 000 000 0 0.0 0 0 0 0
SFGC0.304-0.0444 266.628917 -28.699372 2.154 0.1064 2.36 0.09488 7.846 6.908 0.3595 6.057 0.4066 13.06 000 000 0 0.0 0 0 0 0
SFGC359.552-0.0537 266.189667 -29.346547 2.722 0.1756 3.54 0.2594 12.99 8.489 0.3855 7.249 0.4356 13.04 000 000 0 0.0 0 0 1 0
SFGC0.179-0.0626 266.572625 -28.8157 6.592 0.1186 6.61 0.07697 5.707 20.28 0.2888 17.85 0.1707 6.825 000 000 0 0.0 0 0 0 0
SFGC359.985-0.0413 266.436292 -28.970547 1.657 0.1572 2.08 0.1341 7.498 "" "" 1.248 0.216 6.178 000 111 0 0.0 0 0 0 0
SFGC359.436-0.1023 266.167458 -29.471011 14.62 0.2578 14.26 0.1074 3.665 52.98 0.7243 51.16 0.291 4.638 000 000 0 0.0 0 0 0 0
SFGC0.167-0.0603 266.563292 -28.824594 5.425 1.038 "" "" 20 11.57 1.233 "" "" "" 000 000 1 1.0 1 1 0 0
SFGC0.676-0.0412 266.845208 -28.380067 3.387 0.1637 3.733 0.1347 7.24 22.17 0.8147 20.05 0.7152 10.13 000 000 0 0.0 0 0 0 0
SFGC0.072-0.0953 266.540792 -28.924311 "" "" 0.2623 0.03362 2.515 "" "" "" "" 26 011 111 0 1.0 0 0 0 0
SFGC0.342-0.0389 266.646167 -28.663947 3.356 0.1359 2.508 0.0513 2.6 2.541 0.3147 1.681 0.09286 3.407 000 000 0 0.0 0 0 0 0
SFGC359.444-0.0918 266.162333 -29.458356 17.44 0.4137 19.53 0.3753 7.978 36.87 1.32 32.71 1.241 10.85 000 000 0 0.0 1 0 0 0
SFGC359.435+0.0139 266.053583 -29.410589 2.225 0.0714 2.17 0.0479 3.391 8.278 0.2086 7.575 0.1634 9.046 000 000 0 0.0 0 0 0 0
